From,Protein names,Gene Names,Organism,Length
LOC111099058,G-protein coupled receptor 157-like,LOC111099058,Crassostrea virginica (Eastern oyster),350
LOC111099613,Sialomucin core protein 24-like isoform X1,LOC111099613,Crassostrea virginica (Eastern oyster),277
LOC111099613,Sialomucin core protein 24-like isoform X2,LOC111099613,Crassostrea virginica (Eastern oyster),226
LOC111099737,Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12),LOC111099737,Crassostrea virginica (Eastern oyster),183
LOC111099737,Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12),LOC111099737,Crassostrea virginica (Eastern oyster),177
LOC111100465,5-hydroxytryptamine receptor 1A-like,LOC111100465,Crassostrea virginica (Eastern oyster),483
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),607
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),542
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),616
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),601
LOC111100481,Tubby-like protein,LOC111100481,Crassostrea virginica (Eastern oyster),588
LOC111100557,Synaptotagmin-7-like isoform X4,LOC111100557,Crassostrea virginica (Eastern oyster),515
LOC111100557,Synaptotagmin-7-like isoform X3,LOC111100557,Crassostrea virginica (Eastern oyster),521
LOC111100557,Synaptotagmin-7-like isoform X1,LOC111100557,Crassostrea virginica (Eastern oyster),529
LOC111100557,Synaptotagmin-7-like isoform X5 (Synaptotagmin-7-like isoform X6),LOC111100557 LOC111101166,Crassostrea virginica (Eastern oyster),496
LOC111100557,Synaptotagmin-7-like isoform X2,LOC111100557 LOC111101166,Crassostrea virginica (Eastern oyster),527
LOC111100557,Synaptotagmin-7-like isoform X6 (Synaptotagmin-7-like isoform X7),LOC111101166 LOC111100557,Crassostrea virginica (Eastern oyster),491
LOC111100561,ubiquitinyl hydrolase 1 (EC 3.4.19.12),LOC111100561,Crassostrea virginica (Eastern oyster),2550
LOC111100561,ubiquitinyl hydrolase 1 (EC 3.4.19.12),LOC111100561,Crassostrea virginica (Eastern oyster),2546
LOC111101493,Uncharacterized protein LOC111101493,LOC111101493,Crassostrea virginica (Eastern oyster),266
LOC111102361,Uncharacterized protein LOC111102361 isoform X2,LOC111102361,Crassostrea virginica (Eastern oyster),1645
LOC111102361,Rho GTPase-activating protein 20-like isoform X9,LOC111102361,Crassostrea virginica (Eastern oyster),1381
LOC111102361,Uncharacterized protein LOC111102361 isoform X1,LOC111102361,Crassostrea virginica (Eastern oyster),1646
