gene_name	GeneOntologyIDs
LOC111099058	GO:0004930; GO:0004930; GO:0005886; GO:0007166; GO:0007189
LOC111099613	GO:0031410
LOC111099737	GO:0005737; GO:0006979; GO:0030091; GO:0033743; GO:0033743
LOC111100465	GO:0008227; GO:0016020; GO:0071880
LOC111100481	GO:0005929; GO:0061512
LOC111100557	GO:0000149; GO:0001786; GO:0005509; GO:0005544; GO:0006906; GO:0014059; GO:0016020; GO:0017156; GO:0017158; GO:0030276; GO:0030424; GO:0045202; GO:0071277
LOC111100561	GO:0004197; GO:0004843; GO:0004843; GO:0005634; GO:0005829; GO:0016477; GO:0016579; GO:0016579
LOC111101493	GO:0005164; GO:0006955; GO:0016020
LOC111102361	GO:0005085; GO:0005096; GO:0007165
LOC111102525	GO:0005524; GO:0005743; GO:0006879; GO:0016887; GO:0055085; GO:0055085; GO:0140359
LOC111102594	GO:0008168; GO:0008270; GO:0009086
LOC111102665	GO:0000978; GO:0000981; GO:0005634; GO:0006357
LOC111103374	GO:0002094; GO:0005783; GO:0016094; GO:0045547; GO:1904423
LOC111103594	GO:0005515
LOC111104689	GO:0004867; GO:0007155; GO:0031012
LOC111106022	GO:0002116; GO:0007162; GO:0008360; GO:0017154; GO:0017154; GO:0030334; GO:0043087; GO:0050772; GO:1902287
LOC111106619	GO:0004672; GO:0005524; GO:0006468
LOC111106743	GO:0004930; GO:0007186; GO:0007186; GO:0016020
LOC111106957	GO:0004843; GO:0016579
LOC111107402	GO:0000118; GO:0004407; GO:0006325; GO:0008270; GO:0016575
LOC111107403	GO:0004930; GO:0007186; GO:0007186; GO:0016020
LOC111107620	GO:0005515; GO:0060271
LOC111108066	GO:0005515
LOC111108426	GO:0005085; GO:0005737; GO:0005886; GO:0007264; GO:0031267
LOC111108439	GO:0002116; GO:0005515; GO:0007162; GO:0008045; GO:0008360; GO:0017154; GO:0017154; GO:0030334; GO:0043087; GO:0050772; GO:0097374; GO:1902287
LOC111109188	GO:0003677; GO:0004672; GO:0005524; GO:0005669; GO:0006468; GO:0046982
LOC111110316	GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016020; GO:0016887; GO:0043231; GO:0055085; GO:0140359; GO:0140359
LOC111110422	GO:0003676; GO:0005739; GO:0006479; GO:0008276
LOC111110729	GO:0007186; GO:0008528; GO:0016020
LOC111110946	GO:0005794
LOC111111116	GO:0005739; GO:0052856
LOC111113399	GO:0005515; GO:0005829
LOC111115122	GO:0004725; GO:0004725; GO:0005856; GO:0006470; GO:0008092
LOC111115910	GO:0005452; GO:0005452; GO:0005886; GO:0006820; GO:0006820; GO:0008509; GO:0008510; GO:0015701; GO:0051453; GO:0055085
LOC111116156	GO:0005415; GO:0016020; GO:0016020; GO:1901642; GO:1901642
