"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099737","GO:0030091","protein repair",3,1,0.02,0.0191,"Biological Processes",0.333333333333333
"2","LOC111103374","GO:0016094","polyprenol biosynthetic process",4,1,0.03,0.0255,"Biological Processes",0.25
"3","LOC111106022","GO:0007162","negative regulation of cell adhesion",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"4","LOC111106022","GO:0008360","regulation of cell shape",19,2,0.12,0.0065,"Biological Processes",0.105263157894737
"5","LOC111106022","GO:0030334","regulation of cell migration",37,3,0.24,0.0136,"Biological Processes",0.0810810810810811
"6","LOC111106022","GO:0043087","regulation of GTPase activity",84,3,0.54,0.0119,"Biological Processes",0.0357142857142857
"7","LOC111106022","GO:0050772","positive regulation of axonogenesis",16,2,0.1,0.0046,"Biological Processes",0.125
"8","LOC111106022","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"9","LOC111108439","GO:0007162","negative regulation of cell adhesion",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"10","LOC111108439","GO:0008045","motor neuron axon guidance",5,1,0.03,0.0317,"Biological Processes",0.2
"11","LOC111108439","GO:0008360","regulation of cell shape",19,2,0.12,0.0065,"Biological Processes",0.105263157894737
"12","LOC111108439","GO:0030334","regulation of cell migration",37,3,0.24,0.0136,"Biological Processes",0.0810810810810811
"13","LOC111108439","GO:0043087","regulation of GTPase activity",84,3,0.54,0.0119,"Biological Processes",0.0357142857142857
"14","LOC111108439","GO:0050772","positive regulation of axonogenesis",16,2,0.1,0.0046,"Biological Processes",0.125
"15","LOC111108439","GO:0097374","sensory neuron axon guidance",1,1,0.01,0.0064,"Biological Processes",1
"16","LOC111108439","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance",15,2,0.1,0.0041,"Biological Processes",0.133333333333333
"17","LOC111115910","GO:0015701","bicarbonate transport",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"18","LOC111117505","GO:0030182","neuron differentiation",189,8,1.21,0.0318,"Biological Processes",0.0423280423280423
"19","LOC111118472","GO:0006211","5-methylcytosine catabolic process",1,1,0.01,0.0064,"Biological Processes",1
"20","LOC111121327","GO:0030182","neuron differentiation",189,8,1.21,0.0318,"Biological Processes",0.0423280423280423
"21","LOC111121590","GO:0038061","NIK/NF-kappaB signaling",2,1,0.01,0.0128,"Biological Processes",0.5
"22","LOC111122190","GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation",3,1,0.02,0.0191,"Biological Processes",0.333333333333333
"23","LOC111122190","GO:0045048","protein insertion into ER membrane",5,1,0.03,0.0317,"Biological Processes",0.2
"24","LOC111122725","GO:0045162","clustering of voltage-gated sodium channels",1,1,0.01,0.0064,"Biological Processes",1
"25","LOC111124421","GO:0007160","cell-matrix adhesion",103,3,0.66,0.0286,"Biological Processes",0.029126213592233
"26","LOC111124765","GO:0007160","cell-matrix adhesion",103,3,0.66,0.0286,"Biological Processes",0.029126213592233
"27","LOC111125749","GO:0043041","amino acid activation for nonribosomal peptide biosynthetic process",1,1,0.01,0.0064,"Biological Processes",1
"28","LOC111125856","GO:0035023","regulation of Rho protein signal transduction",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"29","LOC111127799","GO:0046856","phosphatidylinositol dephosphorylation",17,2,0.11,0.0052,"Biological Processes",0.117647058823529
"30","LOC111127799","GO:0048488","synaptic vesicle endocytosis",18,2,0.12,0.0058,"Biological Processes",0.111111111111111
"31","LOC111128396","GO:0051262","protein tetramerization",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
"32","LOC111130064","GO:0001755","neural crest cell migration",4,1,0.03,0.0255,"Biological Processes",0.25
"33","LOC111130064","GO:0048843","negative regulation of axon extension involved in axon guidance",4,1,0.03,0.0255,"Biological Processes",0.25
"34","LOC111130064","GO:0050919","negative chemotaxis",3,1,0.02,0.0191,"Biological Processes",0.333333333333333
"35","LOC111130064","GO:0071526","semaphorin-plexin signaling pathway",19,3,0.12,0.0249,"Biological Processes",0.157894736842105
"36","LOC111130626","GO:0007160","cell-matrix adhesion",103,3,0.66,0.0286,"Biological Processes",0.029126213592233
"37","LOC111131099","GO:0007528","neuromuscular junction development",6,1,0.04,0.0379,"Biological Processes",0.166666666666667
